CMDLINE c:\users\simon\filestotals\venv\scripts\python.exe app\routes.py
MEM 3.277344 1605006456.6937
MEM 3.277344 1605006456.8025
MEM 3.277344 1605006456.9125
MEM 3.277344 1605006457.0205
MEM 3.277344 1605006457.1297
MEM 3.277344 1605006457.2387
MEM 3.277344 1605006457.3465
MEM 3.277344 1605006457.4555
MEM 3.277344 1605006457.5635
MEM 3.277344 1605006457.6726
MEM 3.277344 1605006457.7815
MEM 3.277344 1605006457.8909
MEM 3.277344 1605006457.9999
MEM 3.277344 1605006458.1097
MEM 3.277344 1605006458.2167
MEM 3.277344 1605006458.3266
MEM 3.277344 1605006458.4358
MEM 3.277344 1605006458.5436
MEM 3.277344 1605006458.6525
MEM 3.277344 1605006458.7626
MEM 3.277344 1605006458.8710
MEM 3.277344 1605006458.9807
MEM 3.277344 1605006459.0886
MEM 3.277344 1605006459.1983
MEM 3.277344 1605006459.3066
MEM 3.277344 1605006459.4159
MEM 3.277344 1605006459.5261
MEM 3.277344 1605006459.6338
MEM 3.277344 1605006459.7426
MEM 3.277344 1605006459.8513
MEM 3.277344 1605006459.9615
MEM 3.277344 1605006460.0692
MEM 3.277344 1605006460.1796
MEM 3.277344 1605006460.2882
MEM 3.277344 1605006460.3980
MEM 3.277344 1605006460.5061
MEM 3.277344 1605006460.6153
MEM 3.277344 1605006460.7236
MEM 3.277344 1605006460.8315
MEM 3.277344 1605006460.9405
MEM 3.277344 1605006461.0479
MEM 3.277344 1605006461.1568
MEM 3.277344 1605006461.2672
MEM 3.277344 1605006461.3760
MEM 3.277344 1605006461.4853
MEM 3.277344 1605006461.5946
MEM 3.277344 1605006461.7035
MEM 3.277344 1605006461.8135
MEM 3.277344 1605006461.9216
MEM 3.277344 1605006462.0296
MEM 3.277344 1605006462.1379
MEM 3.277344 1605006462.2486
MEM 3.277344 1605006462.3586
MEM 3.277344 1605006462.4674
MEM 3.277344 1605006462.5754
MEM 3.277344 1605006462.6835
MEM 3.277344 1605006462.7912
MEM 3.277344 1605006462.9020
MEM 3.277344 1605006463.0115
MEM 3.277344 1605006463.1199
MEM 3.277344 1605006463.2286
MEM 3.277344 1605006463.3373
MEM 3.277344 1605006463.4465
MEM 3.277344 1605006463.5553
MEM 3.277344 1605006463.6658
MEM 3.277344 1605006463.7748
MEM 3.277344 1605006463.8852
MEM 3.277344 1605006463.9925
MEM 3.277344 1605006464.1022
MEM 3.277344 1605006464.2107
MEM 3.277344 1605006464.3193
MEM 3.277344 1605006464.4286
MEM 3.277344 1605006464.5377
MEM 3.277344 1605006464.6460
MEM 3.277344 1605006464.7547
MEM 3.277344 1605006464.8650
MEM 3.277344 1605006464.9736
MEM 3.277344 1605006465.0746
MEM 3.277344 1605006465.1836
MEM 3.277344 1605006465.2908
MEM 3.277344 1605006465.3970
MEM 3.277344 1605006465.5049
MEM 3.277344 1605006465.6140
MEM 3.277344 1605006465.7226
MEM 3.277344 1605006465.8306
MEM 3.277344 1605006465.9396
MEM 3.277344 1605006466.0509
MEM 3.277344 1605006466.1592
MEM 3.277344 1605006466.2680
MEM 3.277344 1605006466.3764
MEM 3.277344 1605006466.4845
MEM 3.277344 1605006466.5925
MEM 3.277344 1605006466.7038
MEM 3.277344 1605006466.8125
MEM 3.277344 1605006466.9226
MEM 3.277344 1605006467.0305
MEM 3.277344 1605006467.1399
MEM 3.277344 1605006467.2468
MEM 3.277344 1605006467.3556
MEM 3.277344 1605006467.4656
MEM 3.277344 1605006467.5736
MEM 3.277344 1605006467.6815
MEM 3.277344 1605006467.7909
MEM 3.277344 1605006467.8996
MEM 3.277344 1605006468.0078
MEM 3.277344 1605006468.1188
MEM 3.277344 1605006468.2262
MEM 3.277344 1605006468.3372
MEM 3.277344 1605006468.4440
MEM 3.277344 1605006468.5526
MEM 3.277344 1605006468.6614
MEM 3.277344 1605006468.7729
MEM 3.277344 1605006468.8810
MEM 3.277344 1605006468.9908
MEM 3.277344 1605006469.1006
MEM 3.277344 1605006469.2102
MEM 3.277344 1605006469.3177
MEM 3.277344 1605006469.4267
MEM 3.277344 1605006469.5357
MEM 3.277344 1605006469.6450
MEM 3.277344 1605006469.7536
MEM 3.277344 1605006469.8609
MEM 3.277344 1605006469.9725
MEM 3.277344 1605006470.0813
MEM 3.277344 1605006470.1890
MEM 3.277344 1605006470.2968
MEM 3.277344 1605006470.4072
MEM 3.277344 1605006470.5160
MEM 3.277344 1605006470.6245
MEM 3.277344 1605006470.7346
MEM 3.277344 1605006470.8425
MEM 3.277344 1605006470.9525
MEM 3.277344 1605006471.0608
MEM 3.277344 1605006471.1696
MEM 3.277344 1605006471.2777
MEM 3.277344 1605006471.3859
MEM 3.277344 1605006471.4944
MEM 3.277344 1605006471.6036
MEM 3.277344 1605006471.7112
MEM 3.277344 1605006471.8196
MEM 3.277344 1605006471.9266
MEM 3.277344 1605006472.0340
MEM 3.277344 1605006472.1428
MEM 3.277344 1605006472.2499
MEM 3.277344 1605006472.3580
MEM 3.277344 1605006472.4657
MEM 3.277344 1605006472.5745
MEM 3.277344 1605006472.6836
MEM 3.277344 1605006472.7914
MEM 3.277344 1605006472.9006
MEM 3.277344 1605006473.0096
MEM 3.277344 1605006473.1198
MEM 3.277344 1605006473.2289
MEM 3.277344 1605006473.3396
MEM 3.277344 1605006473.4473
MEM 3.277344 1605006473.5566
MEM 3.277344 1605006473.6654
MEM 3.277344 1605006473.7769
MEM 3.277344 1605006473.8859
MEM 3.277344 1605006473.9946
MEM 3.277344 1605006474.1044
MEM 3.277344 1605006474.2135
MEM 3.277344 1605006474.3235
MEM 3.277344 1605006474.4300
MEM 3.277344 1605006474.5396
MEM 3.277344 1605006474.6480
MEM 3.277344 1605006474.7586
MEM 3.277344 1605006474.8659
MEM 3.277344 1605006474.9734
MEM 3.277344 1605006475.0826
MEM 3.277344 1605006475.1926
MEM 3.277344 1605006475.3012
MEM 3.277344 1605006475.4096
MEM 3.277344 1605006475.5168
MEM 3.277344 1605006475.6249
MEM 3.277344 1605006475.7316
MEM 3.277344 1605006475.8407
MEM 3.277344 1605006475.9488
MEM 3.277344 1605006476.0587
MEM 3.277344 1605006476.1681
MEM 3.277344 1605006476.2777
MEM 3.277344 1605006476.3860
MEM 3.277344 1605006476.4954
MEM 3.277344 1605006476.6034
MEM 3.277344 1605006476.7132
MEM 3.277344 1605006476.8204
MEM 3.277344 1605006476.9281
MEM 3.277344 1605006477.0361
MEM 3.277344 1605006477.1439
MEM 3.277344 1605006477.2526
MEM 3.277344 1605006477.3629
MEM 3.277344 1605006477.4715
MEM 3.277344 1605006477.5808
MEM 3.277344 1605006477.6907
MEM 3.277344 1605006477.8000
MEM 3.277344 1605006477.9092
MEM 3.277344 1605006478.0185
MEM 3.277344 1605006478.1269
MEM 3.277344 1605006478.2357
MEM 3.277344 1605006478.3455
MEM 3.277344 1605006478.4534
MEM 3.277344 1605006478.5615
MEM 3.277344 1605006478.6704
MEM 3.277344 1605006478.7786
MEM 3.277344 1605006478.8860
MEM 3.277344 1605006478.9955
MEM 3.277344 1605006479.1044
